"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"142","National","National",2005,24,1.00254,1.04197,573,NA,409,507,NA,125,1614,582,154899,NA
"143","National","National",2005,25,0.957569,0.954027,580,NA,431,507,NA,110,1628,587,170645,NA
"144","National","National",2005,26,0.894837,0.84823,497,NA,326,452,NA,84,1359,550,160216,NA
"145","National","National",2005,27,0.798205,0.841872,426,NA,313,390,NA,69,1198,533,142302,NA
"146","National","National",2005,28,0.757812,0.730894,389,NA,323,361,NA,75,1148,524,157068,NA
"147","National","National",2005,29,0.825963,0.713432,333,NA,303,364,NA,68,1068,507,149699,NA
"148","National","National",2005,30,0.744927,0.670677,328,NA,279,327,NA,56,990,492,147612,NA
"149","National","National",2005,31,0.787049,0.689278,331,NA,267,326,NA,58,982,488,142468,NA
"150","National","National",2005,32,0.684724,0.704929,319,NA,297,350,NA,57,1023,479,145121,NA
"151","National","National",2005,33,0.747361,0.615903,330,NA,225,326,NA,47,928,480,150673,NA
"152","National","National",2005,34,0.673974,0.609426,292,NA,265,311,NA,54,922,428,151290,NA
"153","National","National",2005,35,0.869662,0.680259,342,NA,273,367,NA,51,1033,420,151854,NA
"154","National","National",2005,36,0.899529,0.775488,338,NA,264,396,NA,63,1061,416,136817,NA
"155","National","National",2005,37,0.854635,0.683421,302,NA,289,383,NA,52,1026,408,150127,NA
"156","National","National",2005,38,1.01123,0.781075,368,NA,285,516,NA,50,1219,419,156067,NA
"157","National","National",2005,39,0.977808,0.806943,381,NA,276,484,NA,63,1204,447,149205,NA
"158","National","National",2005,40,1.17778,1.07635,1172,NA,924,1256,NA,234,3586,1113,333164,NA
"159","National","National",2005,41,1.21947,1.05869,1285,NA,853,1247,NA,197,3582,1160,338343,NA
"160","National","National",2005,42,1.3069,1.11523,1393,NA,992,1525,NA,212,4122,1216,369609,NA
"161","National","National",2005,43,1.33931,1.12381,1439,NA,997,1599,NA,213,4248,1237,377999,NA
"162","National","National",2005,44,1.58374,1.25489,1639,NA,1190,1894,NA,282,5005,1280,398840,NA
"163","National","National",2005,45,1.47072,1.33661,1563,NA,1251,1929,NA,295,5038,1272,376924,NA
"164","National","National",2005,46,1.6112,1.37864,1679,NA,1331,1951,NA,315,5276,1277,382697,NA
"165","National","National",2005,47,1.82699,1.60829,1666,NA,1249,1593,NA,294,4802,1301,298578,NA
"166","National","National",2005,48,1.77482,1.48311,1858,NA,1583,2176,NA,349,5966,1325,402264,NA
"167","National","National",2005,49,1.94451,1.65374,1987,NA,1534,2463,NA,387,6371,1328,385248,NA
"168","National","National",2005,50,2.35512,2.00679,2241,NA,1997,3063,NA,396,7697,1318,383548,NA
"169","National","National",2005,51,3.10878,2.56857,2696,NA,2293,3058,NA,530,8577,1287,333921,NA
"170","National","National",2005,52,3.28238,3.05278,2678,NA,2882,2561,NA,721,8842,1273,289638,NA
"171","National","National",2006,1,2.62914,2.42504,2422,NA,2817,2366,NA,734,8339,1319,343871,NA
"172","National","National",2006,2,2.2515,2.00195,2272,NA,2155,2921,NA,534,7882,1339,393716,NA
"173","National","National",2006,3,2.35858,2.05869,2249,NA,1999,3150,NA,460,7858,1297,381699,NA
"174","National","National",2006,4,2.41881,2.21277,2643,NA,2281,3646,NA,544,9114,1331,411882,NA
"175","National","National",2006,5,2.52752,2.3222,2612,NA,2288,4153,NA,498,9551,1320,411291,NA
"176","National","National",2006,6,2.64954,2.49279,2754,NA,2543,4593,NA,537,10427,1311,418286,NA
"177","National","National",2006,7,3.12935,2.79489,2624,NA,2992,4979,NA,631,11226,1288,401661,NA
"178","National","National",2006,8,3.12442,2.96911,2753,NA,3073,5284,NA,791,11901,1288,400827,NA
"179","National","National",2006,9,3.13099,2.83959,2579,NA,2989,5008,NA,767,11343,1275,399459,NA
"180","National","National",2006,10,3.08261,2.77799,2564,NA,2913,5106,NA,678,11261,1257,405365,NA
"181","National","National",2006,11,2.64431,2.47287,2330,NA,2231,4154,NA,607,9322,1241,376971,NA
"182","National","National",2006,12,2.42295,2.18061,1895,NA,1919,3709,NA,541,8064,1217,369804,NA
"183","National","National",2006,13,2.31141,2.0168,1697,NA,1745,3393,NA,478,7313,1165,362605,NA
"184","National","National",2006,14,1.86383,1.64101,1437,NA,1299,2660,NA,342,5738,1133,349662,NA
"185","National","National",2006,15,1.44943,1.35829,1181,NA,1067,2014,NA,285,4547,1087,334760,NA
"186","National","National",2006,16,1.30227,1.1428,959,NA,873,1479,NA,239,3550,1045,310641,NA
"187","National","National",2006,17,1.13459,1.04031,836,NA,779,1382,NA,180,3177,1017,305389,NA
"188","National","National",2006,18,1.06255,0.964347,745,NA,637,1208,NA,190,2780,958,288278,NA
"189","National","National",2006,19,1.03428,0.937982,745,NA,621,1039,NA,187,2592,919,276338,NA
"190","National","National",2006,20,1.01791,0.947449,715,NA,582,969,NA,162,2428,877,256267,NA
"191","National","National",2006,21,0.918151,0.891918,699,NA,452,764,NA,146,2061,783,231075,NA
"192","National","National",2006,22,0.93099,0.864643,572,NA,404,561,NA,108,1645,649,190252,NA
"193","National","National",2006,23,0.857294,0.97032,754,NA,564,626,NA,131,2075,635,213847,NA
"194","National","National",2006,24,0.786294,0.84439,514,NA,388,447,NA,81,1430,615,169353,NA
"195","National","National",2006,25,0.719426,0.77487,463,NA,328,409,NA,100,1300,610,167770,NA
"196","National","National",2006,26,0.718868,0.821372,466,NA,323,390,NA,92,1271,572,154741,NA
"197","National","National",2006,27,0.774807,0.872745,437,NA,305,402,NA,71,1215,565,139216,NA
"198","National","National",2006,28,0.76598,0.922635,549,NA,449,511,NA,108,1617,577,175259,NA
"199","National","National",2006,29,0.642809,0.899487,541,NA,460,440,NA,112,1553,564,172654,NA
"200","National","National",2006,30,0.622033,0.843082,502,NA,422,403,NA,128,1455,564,172581,NA
"201","National","National",2006,31,0.616326,0.881824,508,NA,402,430,NA,88,1428,551,161937,NA
"202","National","National",2006,32,0.685694,0.817145,473,NA,383,435,NA,82,1373,547,168024,NA
"203","National","National",2006,33,0.622697,0.8715,510,NA,390,466,NA,91,1457,536,167183,NA
"204","National","National",2006,34,0.611817,0.738621,404,NA,279,379,NA,76,1138,503,154071,NA
"205","National","National",2006,35,0.638831,0.797966,398,NA,292,457,NA,77,1224,488,153390,NA
"206","National","National",2006,36,0.806627,1.01394,492,NA,396,506,NA,69,1463,491,144289,NA
"207","National","National",2006,37,0.762448,0.880936,446,NA,361,521,NA,78,1406,487,159603,NA
"208","National","National",2006,38,0.813406,0.943366,511,NA,362,534,NA,80,1487,455,157627,NA
"209","National","National",2006,39,0.807934,0.891546,476,NA,364,512,NA,81,1433,469,160732,NA
"210","National","National",2006,40,1.15384,1.20322,1434,NA,1116,1699,NA,264,4513,1323,375076,NA
"211","National","National",2006,41,1.14819,1.05788,1278,NA,992,1602,NA,200,4072,1361,384920,NA
"212","National","National",2006,42,1.22736,1.13054,1543,NA,1099,1830,NA,265,4737,1425,419005,NA
"213","National","National",2006,43,1.21744,1.12552,1582,NA,1086,1996,NA,224,4888,1445,434287,NA
"214","National","National",2006,44,1.32813,1.20808,1672,NA,1157,2270,NA,281,5380,1473,445334,NA
"215","National","National",2006,45,1.47754,1.34952,2112,NA,1320,2393,NA,314,6139,1497,454901,NA
"216","National","National",2006,46,1.5339,1.4689,2355,NA,1342,2681,NA,290,6668,1474,453945,NA
"217","National","National",2006,47,1.91269,1.82767,2188,NA,1409,2202,NA,357,6156,1488,336822,NA
"218","National","National",2006,48,1.838,1.6656,2573,NA,1774,2792,NA,391,7530,1486,452089,NA
"219","National","National",2006,49,1.95376,1.85968,2643,NA,1804,3244,NA,431,8122,1493,436741,NA
"220","National","National",2006,50,2.40407,2.38891,3270,NA,2177,4470,NA,479,10396,1492,435177,NA
"221","National","National",2006,51,2.87453,2.78978,3387,NA,2237,4065,NA,503,10192,1435,365334,NA
"222","National","National",2006,52,3.02597,3.11549,3243,NA,2216,2868,NA,586,8913,1359,286087,NA
"223","National","National",2007,1,2.37817,2.26942,2927,NA,2394,2481,NA,584,8386,1490,369521,NA
"224","National","National",2007,2,2.09232,1.86355,2507,NA,2018,2756,NA,480,7761,1467,416464,NA
"225","National","National",2007,3,2.29396,1.99986,2548,NA,1701,3248,NA,412,7909,1470,395477,NA
"226","National","National",2007,4,2.74501,2.4406,3410,NA,2257,4684,NA,537,10888,1495,446119,NA
"227","National","National",2007,5,3.04434,2.83018,3456,NA,2559,5648,NA,457,12120,1472,428241,NA
"228","National","National",2007,6,3.49999,3.12343,3840,NA,2910,6995,NA,452,14197,1484,454533,NA
"229","National","National",2007,7,3.57851,3.27019,3879,NA,2955,6668,NA,529,14031,1461,429057,NA
"230","National","National",2007,8,3.28979,3.17757,3728,NA,3175,6537,NA,608,14048,1460,442099,NA
"231","National","National",2007,9,2.89149,2.72364,3016,NA,2778,5429,NA,578,11801,1428,433281,NA
"232","National","National",2007,10,2.62075,2.50201,2798,NA,2533,4937,NA,447,10715,1408,428255,NA
"233","National","National",2007,11,2.53387,2.4272,2668,NA,2426,4031,NA,472,9597,1361,395394,NA
"234","National","National",2007,12,2.07251,1.96041,2049,NA,1857,3307,NA,349,7562,1333,385735,NA
"235","National","National",2007,13,1.87084,1.5914,1664,NA,1625,2508,NA,351,6148,1303,386327,NA
"236","National","National",2007,14,1.40042,1.36978,1445,NA,1379,1803,NA,331,4958,1284,361955,NA
"237","National","National",2007,15,1.46887,1.36317,1429,NA,1274,1821,NA,345,4869,1240,357183,NA
"238","National","National",2007,16,1.15514,1.1737,1257,NA,1112,1523,NA,287,4179,1206,356055,NA
"239","National","National",2007,17,1.07901,1.06358,1152,NA,937,1386,NA,220,3695,1152,347413,NA
"240","National","National",2007,18,0.98492,0.969711,969,NA,755,1143,NA,210,3077,1119,317311,NA
"241","National","National",2007,19,1.03325,0.965362,917,NA,713,1055,NA,175,2860,1057,296262,NA
"242","National","National",2007,20,0.926649,0.856749,815,NA,590,861,NA,176,2442,1025,285031,NA
"243","National","National",2007,21,0.9201,0.863346,761,NA,561,785,NA,136,2243,925,259803,NA
"244","National","National",2007,22,0.954094,0.93537,722,NA,554,652,NA,130,2058,831,220020,NA
"245","National","National",2007,23,0.763278,0.745569,628,NA,422,510,NA,119,1679,796,225197,NA
"246","National","National",2007,24,0.81722,0.740428,598,NA,413,469,NA,134,1614,771,217982,NA
"247","National","National",2007,25,0.764586,0.672897,521,NA,394,441,NA,100,1456,749,216378,NA
"248","National","National",2007,26,0.793127,0.666282,514,NA,431,408,NA,102,1455,742,218376,NA
"249","National","National",2007,27,0.66909,0.662747,394,NA,313,360,NA,102,1169,711,176387,NA
"250","National","National",2007,28,0.62115,0.545619,366,NA,296,372,NA,52,1086,697,199040,NA
"251","National","National",2007,29,0.603659,0.586231,446,NA,335,345,NA,85,1211,698,206574,NA
"252","National","National",2007,30,0.649058,0.660687,477,NA,391,392,NA,96,1356,691,205241,NA
"253","National","National",2007,31,0.568338,0.534093,321,NA,344,311,NA,61,1037,677,194161,NA
"254","National","National",2007,32,0.651546,0.585549,389,NA,320,385,NA,78,1172,667,200154,NA
"255","National","National",2007,33,0.652176,0.618075,439,NA,338,411,NA,95,1283,666,207580,NA
"256","National","National",2007,34,0.803849,0.687465,495,NA,408,457,NA,88,1448,671,210629,NA
"257","National","National",2007,35,0.787458,0.715696,502,NA,416,500,NA,108,1526,652,213219,NA
"258","National","National",2007,36,0.943263,0.829313,519,NA,417,545,NA,73,1554,641,187384,NA
"259","National","National",2007,37,0.946932,0.800912,496,NA,417,682,NA,99,1694,638,211509,NA
"260","National","National",2007,38,0.987146,0.918484,609,NA,502,681,NA,121,1913,632,208278,NA
"261","National","National",2007,39,1.05206,0.814259,729,NA,583,788,NA,128,2228,703,273623,NA
"262","National","National",2007,40,0.995184,1.07197,2187,NA,1167,1997,NA,290,5641,1373,526227,NA
"263","National","National",2007,41,1.22003,1.21786,2387,NA,1321,2433,NA,303,6444,1429,529126,NA
"264","National","National",2007,42,1.28548,1.24576,2583,NA,1455,2551,NA,352,6941,1449,557172,NA
"265","National","National",2007,43,1.3775,1.35984,2871,NA,1400,2788,NA,375,7434,1477,546680,NA
"266","National","National",2007,44,1.46725,1.44671,3074,NA,1475,2998,NA,368,7915,1485,547104,NA
"267","National","National",2007,45,1.55841,1.53286,3398,NA,1609,3303,NA,377,8687,1539,566717,NA
